,wave,flux
0,3800.142578125,-0.4469545876118208
1,3801.018798828125,-0.2974248139541443
2,3801.893310546875,-0.19919725555348286
3,3802.77001953125,-0.05580505718635031
4,3803.644775390625,-0.01829219011189116
5,3804.52197265625,0.06206022516782967
6,3805.397216796875,0.07657256401466708
7,3806.272705078125,0.10912153134485555
8,3807.150390625,0.1258727407950396
9,3808.026123046875,0.147639009757064
10,3808.904296875,0.15966947361125453
11,3809.780517578125,0.11672639129386743
12,3810.658935546875,0.09599261719307642
13,3811.53564453125,0.08062468356117215
14,3812.41259765625,0.03893831849319606
15,3813.291748046875,0.009982623497846677
16,3814.1689453125,0.006326168051531219
17,3815.04833984375,-0.020384012174070907
18,3815.926025390625,-0.11262657609216206
19,3816.805908203125,-0.0952836462937279
20,3817.68408203125,0.022232804117946835
21,3818.562255859375,-0.07929806998913383
22,3819.44287109375,-0.20713251535267868
23,3820.321533203125,-0.05953752794473418
24,3821.202392578125,-0.055855858033490836
25,3822.08154296875,-0.1194160001274981
26,3822.962890625,0.02550477995016512
27,3823.84228515625,0.08998744784331013
28,3824.72412109375,0.05622812482879778
29,3825.60400390625,0.06007899492564133
30,3826.484130859375,0.027406061860448038
31,3827.366455078125,-0.008895845001713419
32,3828.2470703125,-0.04385761245667345
33,3829.129638671875,-0.10179987791176172
34,3830.0107421875,-0.16516115761421424
35,3830.893798828125,-0.26818911700321085
36,3831.775146484375,-0.3342555100089983
37,3832.65673828125,-0.4151049673161126
38,3833.54052734375,-0.47942665824924324
39,3834.42236328125,-0.5125406109699522
40,3835.306640625,-0.6226394547324731
41,3836.188720703125,-0.6187624590530398
42,3837.073486328125,-0.5938011029454897
43,3837.9560546875,-0.5036300284354681
44,3838.839111328125,-0.39305906429439813
45,3839.724365234375,-0.3243572924589863
46,3840.607666015625,-0.17918665647551085
47,3841.4931640625,-0.06030864143266297
48,3842.376953125,-0.052652024737502974
49,3843.262939453125,0.0049191036153880315
50,3844.147216796875,0.0958564503206185
51,3845.031494140625,0.11075005900409439
52,3845.918212890625,0.07165724273957727
53,3846.802978515625,0.17027773248402087
54,3847.68994140625,0.12150805958718579
55,3848.5751953125,0.1412382435942595
56,3849.462646484375,0.08495335846931834
57,3850.34814453125,0.025126976788842084
58,3851.23388671875,0.10556742569278567
59,3852.1220703125,-0.0056636619882243595
60,3853.00830078125,0.009974971851416766
61,3853.896728515625,-0.06110272149862843
62,3854.783203125,-0.08536785923516824
63,3855.672119140625,-0.10540499086042536
64,3856.55908203125,-0.2171464574820279
65,3857.4462890625,-0.20417458206778738
66,3858.3359375,-0.13729112684540398
67,3859.223388671875,-0.13027937198894332
68,3860.113525390625,-0.12857292776430645
69,3861.00146484375,-0.21055376029922132
70,3861.891845703125,-0.1865420922479983
71,3862.7802734375,-0.17638272990886458
72,3863.6689453125,-0.023849361188242782
73,3864.559814453125,-0.13788981630957411
74,3865.44873046875,-0.15158386923662132
75,3866.340087890625,-0.08610434811216239
76,3867.229736328125,-0.0712793410381532
77,3868.121337890625,-0.03764470683791591
78,3869.01123046875,-0.021372643846560905
79,3869.9013671875,-0.018967878677834584
80,3870.793701171875,0.10827505274548047
81,3871.68408203125,0.19212070721134605
82,3872.576904296875,0.13321292512433885
83,3873.4677734375,0.20452047813616106
84,3874.361083984375,0.21914118072757455
85,3875.25244140625,0.23018615479323495
86,3876.143798828125,0.3317716280264039
87,3877.03759765625,0.35428936028482555
88,3877.9296875,0.3348494726195622
89,3878.823974609375,0.28972101370637565
90,3879.716064453125,0.418376942965824
91,3880.61083984375,0.42686780255723195
92,3881.503662109375,0.36923249969725613
93,3882.396484375,0.27871078556234846
94,3883.291748046875,0.18250377512668195
95,3884.18505859375,0.1353964380501488
96,3885.080810546875,0.08800365076099159
97,3885.974609375,-0.0839686526175649
98,3886.87060546875,-0.2529404182461604
99,3887.764892578125,-0.3134123132881342
100,3888.6591796875,-0.47934219035093023
101,3889.555908203125,-0.4887677581431535
102,3890.45068359375,-0.46721231592425827
103,3891.347900390625,-0.3419606833102543
104,3892.2431640625,-0.2055411151190064
105,3893.140625,-0.07052090716341332
106,3894.0361328125,0.07586476208073337
107,3894.93408203125,0.04680674828387288
108,3895.830078125,0.180029640162451
109,3896.726318359375,0.30396934008134396
110,3897.625,0.25966228557505705
111,3898.521728515625,0.3210490106650749
112,3899.420654296875,0.26138295867695327
113,3900.317626953125,0.21788902385244394
114,3901.217041015625,0.2574277305188251
115,3902.114501953125,0.24292759089185167
116,3903.01220703125,0.19759337890696074
117,3903.912353515625,0.16606668994520812
118,3904.810302734375,0.19887866274086843
119,3905.710693359375,0.10321533577590786
120,3906.609375,0.11181443730365227
121,3907.51025390625,0.11999696709331133
122,3908.408935546875,0.12455645346364015
123,3909.30810546875,0.0661519258441402
124,3910.209716796875,0.04848841775710966
125,3911.109130859375,0.08888668232094134
126,3912.010986328125,-0.07905079963909051
127,3912.9111328125,-0.05503477304612463
128,3913.813232421875,-0.12776222324641445
129,3914.713623046875,-0.15926917545621122
130,3915.6142578125,-0.07288769718340024
131,3916.517333984375,0.0103713009702103
132,3917.418212890625,0.03742882329914494
133,3918.321533203125,0.023066311036839832
134,3919.222900390625,0.01703202714858321
135,3920.126708984375,0.043262375438753324
136,3921.028564453125,0.061651231899358484
137,3921.9306640625,0.12515710873955455
138,3922.8349609375,0.12188917349753682
139,3923.7373046875,0.23684106775302713
140,3924.64208984375,0.32242122018420516
141,3925.544921875,0.24378189737208275
142,3926.4501953125,0.16392127844219903
143,3927.353515625,0.09710673462393925
