,wave,flux
0,3822.08154296875,0.33139179085105835
1,3822.962890625,0.3833111492390037
2,3823.84228515625,0.5082830348457763
3,3824.72412109375,0.6485609422217972
4,3825.60400390625,0.7401966561243303
5,3826.484130859375,0.8670196165742893
6,3827.366455078125,1.024081830299449
7,3828.2470703125,1.093871581806655
8,3829.129638671875,1.159680443517895
9,3830.0107421875,1.2731229325761626
10,3830.893798828125,1.2127747265651663
11,3831.775146484375,1.1600283943218752
12,3832.65673828125,1.171421179276322
13,3833.54052734375,1.1450156489388412
14,3834.42236328125,1.0544339591053626
15,3835.306640625,1.0165249316340932
16,3836.188720703125,1.0273016131553934
17,3837.073486328125,0.9758865153522257
18,3837.9560546875,0.9601199618404046
19,3838.839111328125,0.9705129972081571
20,3839.724365234375,0.9612197796876379
21,3840.607666015625,0.9531314481623665
22,3841.4931640625,1.0094984356791952
23,3842.376953125,0.920658761196522
24,3843.262939453125,0.8378860915793528
25,3844.147216796875,0.7888103526148086
26,3845.031494140625,0.6944647080401687
27,3845.918212890625,0.6162515829905463
28,3846.802978515625,0.4919540021845813
29,3847.68994140625,0.337330547938986
30,3848.5751953125,0.26900848308145947
31,3849.462646484375,0.20706233497005952
32,3850.34814453125,0.15023370294396754
33,3851.23388671875,0.13383020049295322
34,3852.1220703125,0.08414596755725479
35,3853.00830078125,0.028170962487408413
36,3853.896728515625,0.02490607824035157
37,3854.783203125,0.027557907440862412
38,3855.672119140625,0.006694139618762579
39,3856.55908203125,-0.0023745169742661896
40,3857.4462890625,-0.011500104956260832
41,3858.3359375,0.02280585168889756
42,3859.223388671875,0.045846329952003786
43,3860.113525390625,0.05564756929866793
44,3861.00146484375,0.032202197047662265
45,3861.891845703125,0.02227901170592479
46,3862.7802734375,0.03696038692491008
47,3863.6689453125,0.017295411700368513
48,3864.559814453125,0.001997040524920216
49,3865.44873046875,0.030450509576227105
50,3866.340087890625,0.01856159225076849
51,3867.229736328125,0.019395961924708206
52,3868.121337890625,-0.0015352594201371353
53,3869.01123046875,-0.04295411656772826
54,3869.9013671875,-0.03588038686612138
55,3870.793701171875,-0.01740105686876033
56,3871.68408203125,-0.022796755791898295
57,3872.576904296875,-0.011968937526668447
58,3873.4677734375,-0.0005219044430637842
59,3874.361083984375,0.048569605407487164
60,3875.25244140625,0.13162483186439733
61,3876.143798828125,0.15728070293647237
62,3877.03759765625,0.2645123907246805
63,3877.9296875,0.4335683316279998
64,3878.823974609375,0.5459365725341313
65,3879.716064453125,0.7019652326190932
66,3880.61083984375,0.9224715891707944
67,3881.503662109375,1.0789101950991071
68,3882.396484375,1.2921561875581145
69,3883.291748046875,1.5701311645851734
70,3884.18505859375,1.5820548098152443
71,3885.080810546875,1.6482570132059144
72,3885.974609375,1.5743918566486619
73,3886.87060546875,1.4848217221996036
74,3887.764892578125,1.5000115257297744
75,3888.6591796875,1.4555622161924244
76,3889.555908203125,1.3630476925935202
77,3890.45068359375,1.3729928716910815
78,3891.347900390625,1.3599578689158027
79,3892.2431640625,1.3390095983783814
80,3893.140625,1.3646266124357889
81,3894.0361328125,1.401847597288714
82,3894.93408203125,1.3917398985643927
83,3895.830078125,1.3995326958453553
84,3896.726318359375,1.329586769627064
85,3897.625,1.2110032373568902
86,3898.521728515625,1.0848611238291903
87,3899.420654296875,0.9081981123556294
88,3900.317626953125,0.7032269921089912
89,3901.217041015625,0.5362179974568692
90,3902.114501953125,0.44449370920206205
91,3903.01220703125,0.2920628230074598
92,3903.912353515625,0.19301230807286437
93,3904.810302734375,0.13508808910399386
94,3905.710693359375,0.06741186312789851
95,3906.609375,0.017545938011702213
96,3907.51025390625,0.0008944634969652742
97,3908.408935546875,-0.01743074078739475
98,3909.30810546875,-0.055330301747438325
99,3910.209716796875,-0.08990630716590238
100,3911.109130859375,-0.0960046631732854
101,3912.010986328125,-0.10025837785055083
102,3912.9111328125,-0.07263241963340812
103,3913.813232421875,-0.10267449245840574
104,3914.713623046875,-0.17257701687590085
105,3915.6142578125,-0.1478302222354886
106,3916.517333984375,-0.12229487100140976
107,3917.418212890625,-0.17932807828190195
108,3918.321533203125,-0.17795173256877497
109,3919.222900390625,-0.13793897716046769
110,3920.126708984375,-0.1317042573090196
111,3921.028564453125,-0.10837398190345787
112,3921.9306640625,-0.041542378971206995
113,3922.8349609375,0.0703165765289888
114,3923.7373046875,0.18429969909706434
115,3924.64208984375,0.28552801886499013
116,3925.544921875,0.45590076562192566
117,3926.4501953125,0.6643886810560409
118,3927.353515625,0.8420997471268911
119,3928.257080078125,1.0195941005008526
120,3929.162841796875,0.9441606888094279
121,3930.066650390625,1.0401873384907823
122,3930.972900390625,1.0629043604394508
123,3931.87744140625,0.9726716824376064
124,3932.783935546875,0.9713232623701992
125,3933.688720703125,0.8927276647566611
126,3934.59375,0.8166761882271916
127,3935.5009765625,0.8336900688546514
128,3936.40625,0.8410053012269806
129,3937.31396484375,0.8747346018905594
130,3938.219970703125,0.9068121151912459
131,3939.1279296875,0.8154691678803262
132,3940.0341796875,0.8950968806868163
133,3940.940673828125,0.9273111115740282
134,3941.849365234375,0.8275242655456277
135,3942.756103515625,0.6546735385246866
136,3943.665283203125,0.4681746240346336
137,3944.572509765625,0.30434210251199184
138,3945.482177734375,0.16630931499947593
139,3946.389892578125,0.06815173505349066
140,3947.2978515625,0.03702267007987451
141,3948.2080078125,-0.0636965392040214
142,3949.1162109375,-0.05303876076112212
143,3950.02685546875,-0.07772153461298603
144,3950.935546875,-0.08253769399902204
145,3951.8466796875,-0.04666450276036779
